2023-01-20 05:55:02: Client ('127.0.10.10', 50001) is connecting to server.
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:45: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:46: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:47: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:47: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:48: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:48: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:49: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:51: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:51: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:52: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:52: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
